county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
42005,66331,0.976481585,0.008909861,0.006939673,0.04401572,0.162486145,49032,32736,103600,0.060407667,0.144978006,0.237441944,0.006939673,0,0.142407019,53455,0.000199666,0.497550165,0.438835641,0.126943557,0.127058585,0.001402059,0.117072502,0.4155,0.008301836,0.047551746,0.718369265,0.102153078,Pennsylvania,653.198,101.5480758,50.11650372,42005
42007,166896,0.904018071,0.05898284,0.019794151,0.052642727,0.236746473,55828,79280,133600,0.083334361,0.106748234,0.267379302,0.019794151,0,0.139901496,134298,0.000702848,0.485026603,0.363632795,0.070107032,0.111893458,0.004823363,0.109087367,0.4248,0.007115112,0.044183503,0.599604378,0.102373759,Pennsylvania,434.715,383.9204996,182.3723589,42007
42009,48611,0.975890231,0.005389727,0.00512218,0.044271628,0.141996436,49146,24302,128200,0.102239179,0.190437001,0.202094134,0.004699248,0.000422932,0.155314641,38883,7.47179E-05,0.497829709,0.352091927,0.091239442,0.102511696,0.003702866,0.12733443,0.4192,0.012444929,0.070084725,0.392822352,0.069537176,Pennsylvania,1012.296,48.02053945,24.00681224,42009
42011,416642,0.826455326,0.052176689,0.01605538,0.057403847,0.244868905,61522,166768,174200,0.082140325,0.073761153,0.283244965,0.015819271,0.000236109,0.11368993,322426,0.000386537,0.491748312,0.319077864,0.075600512,0.095186286,0.03835187,0.128191277,0.4393,0.004376551,0.065709631,0.402209456,0.087265173,Pennsylvania,856.504,486.4448969,194.7077889,42011
42013,123842,0.95507986,0.016214208,0.011913318,0.057220339,0.208093269,47969,56767,120300,0.089321348,0.090580795,0.298382567,0.011464098,0.00044922,0.136092763,98445,0.000344804,0.489486604,0.209461967,0.041150278,0.110459675,0.002826182,0.145970004,0.4448,0.008617797,0.051724701,0.272913189,0.094636834,Pennsylvania,525.805,235.5283803,107.9620772,42013
42015,61304,0.969235286,0.00440428,0.001827805,0.054933097,0.178402127,51457,30592,146200,0.051407818,0.188938285,0.246372723,0.001827805,0,0.140675975,47744,0.00018236,0.492724781,0.309478066,0.058477426,0.124531975,0.00500783,0.120113211,0.431,0.008162348,0.066220802,0.158345994,0.109892167,Pennsylvania,1147.398,53.42871436,26.66206495,42015
42017,626370,0.880155499,0.040017881,0.03333436,0.049064171,0.404649627,86055,249732,323300,0.07630595,0.049449009,0.234519742,0.031806138,0.001528223,0.119063812,495803,0.000502984,0.490737104,0.439242466,0.135384716,0.098086906,0.031915641,0.060545905,0.448,0.003503104,0.041835355,0.431062141,0.093400975,Pennsylvania,604.312,1036.501013,413.2501092,42017
42019,186566,0.959124385,0.009401499,0.006169598,0.058906086,0.354189225,68472,82455,197600,0.079287749,0.075374447,0.243769675,0.006027391,0.000142207,0.117513373,148369,0.000365717,0.494736447,0.421712738,0.085625437,0.099053472,0.010596786,0.082553915,0.4388,0.005514273,0.03512146,0.543836713,0.108989871,Pennsylvania,788.608,236.5763472,104.5576509,42019
42021,134550,0.936432553,0.03328874,0.011131924,0.047593894,0.214252256,45901,65878,90900,0.079705467,0.137906433,0.26024334,0.011078405,5.35189E-05,0.148413229,108493,0.000707987,0.491861761,0.291749686,0.070898827,0.148453177,0.005663322,0.153501242,0.4412,0.007171398,0.045938525,0.445622051,0.115440317,Pennsylvania,688.349,195.4677061,95.70435927,42021
42023,4686,0.966069142,0.001067008,0.001917546,0.053763441,0.159223301,41485,4438,75800,0.074349442,0.497070753,0.271057348,0.001917546,0,0.177763551,3907,0,0.505548442,0.210398445,0.06462585,0.074814126,0.007682458,0.143318966,0.4243,0.028810409,0.030772541,0.450290031,0.081784387,Pennsylvania,396.231,11.82643458,11.20053706,42023
