PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Albion town,Indiana,2472,0.101600985,42500,89700,709
Albion town,Indiana,2472,0.101600985,42500,89700,709
Albion village,New York,5439,0.087071941,40162,77900,658
Albright town,West Virginia,311,0.047368421,42000,40700,690
Albuquerque city,New Mexico,559202,0.347365506,51128,193000,855
Alburgh village,Vermont,529,0.114213198,42933,138400,916
Alburnett city,Iowa,641,0.196335079,74375,156100,505
Alburtis borough,Pennsylvania,2528,0.353009936,79181,179500,1344
Alcester city,South Dakota,880,0.18597561,45114,74800,532
Alcoa city,Tennessee,9633,0.224922601,42255,128500,785
Alcolu CDP,South Carolina,499,0.195845697,24276,92900,455
Alda village,Nebraska,758,0.06581741,52813,84300,833
Aldan borough,Pennsylvania,4156,0.27359088,70000,160500,994
Alden city,Minnesota,654,0.165909091,58333,91200,657
Alden city,Minnesota,654,0.165909091,58333,91200,657
Alden city,Minnesota,654,0.165909091,58333,91200,657
Alden city,Iowa,850,0.128164557,60313,81600,529
Alden city,Iowa,850,0.128164557,60313,81600,529
Alden city,Iowa,850,0.128164557,60313,81600,529
Alden village,New York,2580,0.248668797,60063,138100,744
Alderson town,Oklahoma,205,0.020689655,36875,66100,688
Alderson town,Oklahoma,205,0.020689655,36875,66100,688
Alderson town,West Virginia,1178,0.191226097,32083,90500,628
Alderson town,West Virginia,1178,0.191226097,32083,90500,628
Alderton CDP,Washington,3280,0.221033868,81719,307200,1287
Alderwood Manor CDP,Washington,9257,0.302350758,81818,378000,1551
Aldine CDP,Texas,15822,0.035205651,38964,84900,905
Aledo city,Texas,3817,0.436413541,106503,221200,1469
Aledo city,Texas,3817,0.436413541,106503,221200,1469
Aledo city,Illinois,3520,0.234283483,52023,97100,631
Aledo city,Illinois,3520,0.234283483,52023,97100,631
Aleknagik city,Alaska,204,0.1,53750,200000,1125
Alex town,Oklahoma,546,0.101298701,39444,48100,540
Alexander city,Iowa,147,0.127659574,31458,41400,430
Alexander city,Iowa,147,0.127659574,31458,41400,430
Alexander city,Iowa,147,0.127659574,31458,41400,430
Alexander city,Iowa,147,0.127659574,31458,41400,430
Alexander city,Arkansas,3007,0.16424581,41161,67300,716
Alexander city,Arkansas,3007,0.16424581,41161,67300,716
Alexander city,Arkansas,3007,0.16424581,41161,67300,716
Alexander city,Arkansas,3007,0.16424581,41161,67300,716
Alexander City city,Alabama,14621,0.1733573,33007,107800,628
Alexander village,New York,589,0.216802168,70156,112900,644
Alexandria Bay village,New York,831,0.253353204,42500,111100,688
Alexandria borough,Pennsylvania,332,0.298245614,57045,116900,742
Alexandria CDP,Alabama,4000,0.209841828,71677,117500,817
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Minnesota,13380,0.230510315,49708,176500,738
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Virginia,156505,0.621033453,96733,557000,1702
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Kentucky,9211,0.325008162,80313,172400,790
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,Indiana,5025,0.128045157,52051,76500,787
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
Alexandria city,South Dakota,743,0.199519231,54306,98700,900
